nu1 nu2 nu3a nu3b nu4a nu4b J Ka Kc a/s E uncertainty transitions
0 0 0 0 0 0 6 4 3 s 301.796120402 7.071e-04 19
0 0 0 0 0 0 6 4 3 a 302.133956693 3.767e-04 39
0 0 0 0 0 0 6 4 2 s 302.472471342 7.588e-04 26
0 0 0 0 0 0 6 4 2 a 302.807694478 3.811e-04 34
0 0 0 0 0 0 7 1 6 s 319.071642619 4.596e-04 32
0 0 0 0 0 0 7 1 6 a 319.447356316 8.616e-04 19
0 0 0 0 0 0 7 2 6 s 319.666367448 1.189e-03 19
0 0 0 0 0 0 7 2 6 a 320.045239238 4.671e-04 26
0 0 0 0 0 0 6 5 2 s 337.413369200 6.676e-04 34
0 0 0 0 0 0 6 5 1 s 337.439162701 3.734e-04 32
0 0 0 0 0 0 6 5 2 a 337.735451144 9.419e-04 17
0 0 0 0 0 0 6 5 1 a 337.761520822 6.930e-04 14
0 0 0 0 0 0 7 2 5 s 345.172172947 8.100e-04 20
0 0 0 0 0 0 7 2 5 a 345.510046138 4.633e-04 31
0 0 0 0 0 0 7 3 5 s 350.934523375 4.708e-04 32
0 0 0 0 0 0 7 3 5 a 351.279871960 8.383e-04 22
0 0 0 0 0 0 8 0 8 s 360.449914847 9.832e-04 18
0 0 0 0 0 0 8 1 8 s 360.455951254 5.622e-04 23
0 0 0 0 0 0 8 0 8 a 360.882384210 5.784e-04 18
0 0 0 0 0 0 8 1 8 a 360.887546373 1.004e-03 14
0 0 0 0 0 0 7 3 4 s 362.313081796 4.950e-04 31
0 0 0 0 0 0 7 3 4 a 362.632235610 8.338e-04 22
0 0 0 0 0 0 7 4 4 s 381.240652037 8.653e-04 20
0 0 0 0 0 0 6 6 1 s 381.289894471 9.408e-04 10
0 0 0 0 0 0 6 6 0 s 381.289907125 8.719e-04 12
0 0 0 0 0 0 7 4 4 a 381.567237519 4.933e-04 25
0 0 0 0 0 0 6 6 0 a 381.594267541 1.032e-03 15
0 0 0 0 0 0 6 6 1 a 381.594477114 4.251e-04 13
0 0 0 0 0 0 7 4 3 s 383.434228718 8.513e-04 18
0 0 0 0 0 0 7 4 3 a 383.753037029 5.005e-04 28
0 0 0 0 0 0 8 1 7 s 402.969986618 5.429e-04 24
0 0 0 0 0 0 8 2 7 s 403.199911122 9.967e-04 16
0 0 0 0 0 0 8 1 7 a 403.347158593 9.812e-04 14
0 0 0 0 0 0 8 2 7 a 403.578888153 5.579e-04 22
0 0 0 0 0 0 7 5 3 s 416.632859083 4.618e-04 23
0 0 0 0 0 0 7 5 2 s 416.781762456 4.500e-04 28
0 0 0 0 0 0 7 5 3 a 416.944685704 8.393e-04 19
0 0 0 0 0 0 7 5 2 a 417.092700591 9.046e-04 15
0 0 0 0 0 0 8 2 6 s 436.136245397 9.692e-04 20
0 0 0 0 0 0 8 2 6 a 436.468828582 5.391e-04 28
0 0 0 0 0 0 8 3 6 s 439.239420195 5.454e-04 23
0 0 0 0 0 0 8 3 6 a 439.578202828 9.946e-04 18
0 0 0 0 0 0 9 0 9 s 447.554349719 1.106e-03 12
0 0 0 0 0 0 9 1 9 s 447.556501018 6.349e-04 14
0 0 0 0 0 0 9 0 9 a 447.997398060 6.237e-04 16
0 0 0 0 0 0 9 1 9 a 447.998670836 1.125e-03 9
0 0 0 0 0 0 8 3 5 s 457.678927606 5.708e-04 26
0 0 0 0 0 0 8 3 5 a 457.981085151 9.430e-04 21
0 0 0 0 0 0 7 6 2 s 460.052428507 1.025e-03 12
0 0 0 0 0 0 7 6 1 s 460.056802682 8.160e-04 14
0 0 0 0 0 0 7 6 2 a 460.348267152 4.918e-04 22
0 0 0 0 0 0 7 6 1 a 460.352666823 5.008e-04 21
0 0 0 0 0 0 8 4 5 s 471.923523953 9.675e-04 18
0 0 0 0 0 0 8 4 5 a 472.238713490 5.738e-04 23
0 0 0 0 0 0 8 4 4 s 477.333523425 9.460e-04 17
0 0 0 0 0 0 8 4 4 a 477.631830287 5.398e-04 22
0 0 0 0 0 0 9 1 8 s 496.034750882 6.153e-04 24
0 0 0 0 0 0 9 2 8 s 496.117909966 1.121e-03 17
0 0 0 0 0 0 9 1 8 a 496.414686775 1.107e-03 14
0 0 0 0 0 0 9 2 8 a 496.499199525 6.287e-04 24
0 0 0 0 0 0 8 5 4 s 507.452343396 5.408e-04 24
0 0 0 0 0 0 8 5 4 a 507.751507478 9.864e-04 16
0 0 0 0 0 0 8 5 3 s 508.050274710 5.307e-04 25
0 0 0 0 0 0 8 5 3 a 508.346921392 9.624e-04 18
0 0 0 0 0 0 7 7 1 s 511.841716206 7.684e-04 9
0 0 0 0 0 0 7 7 0 s 511.842196087 5.365e-04 7
0 0 0 0 0 0 7 7 1 a 512.117332914 1.069e-03 3
0 0 0 0 0 0 7 7 0 a 512.117850087 1.348e-03 4
0 0 0 0 0 0 9 2 7 s 535.990123607 1.068e-03 21
0 0 0 0 0 0 9 2 7 a 536.320274385 6.113e-04 20
0 0 0 0 0 0 9 3 7 s 537.451368098 6.169e-04 23
0 0 0 0 0 0 9 3 7 a 537.785227797 1.114e-03 15
0 0 0 0 0 0 10 0 10 s 543.939662758 1.218e-03 12
0 0 0 0 0 0 10 1 10 s 543.940519525 6.988e-04 12
0 0 0 0 0 0 10 0 10 a 544.395053909 6.887e-04 17
0 0 0 0 0 0 10 1 10 a 544.395218580 1.291e-03 7
0 0 0 0 0 0 8 6 3 s 550.320335670 9.807e-04 18
0 0 0 0 0 0 8 6 2 s 550.348493709 9.653e-04 14
0 0 0 0 0 0 8 6 3 a 550.605357372 5.402e-04 20
0 0 0 0 0 0 8 6 2 a 550.633448627 5.297e-04 22
0 0 0 0 0 0 9 3 6 s 563.935246537 6.134e-04 25
0 0 0 0 0 0 9 3 6 a 564.223761530 1.071e-03 16
0 0 0 0 0 0 9 4 6 s 573.519012047 1.093e-03 16
0 0 0 0 0 0 9 4 6 a 573.822910224 6.190e-04 19
0 0 0 0 0 0 9 4 5 s 584.221374774 1.072e-03 18
0 0 0 0 0 0 9 4 5 a 584.497190378 6.073e-04 20
0 0 0 0 0 0 10 1 9 s 598.320150319 6.803e-04 18
0 0 0 0 0 0 10 2 9 s 598.348672247 1.227e-03 13
0 0 0 0 0 0 10 1 9 a 598.704224892 1.214e-03 11
0 0 0 0 0 0 10 2 9 a 598.733744558 6.924e-04 16
0 0 0 0 0 0 8 7 2 s 601.628386810 5.414e-04 12
0 0 0 0 0 0 8 7 1 s 601.628778767 5.604e-04 10
0 0 0 0 0 0 8 7 2 a 601.894845295 1.011e-03 5
0 0 0 0 0 0 8 7 1 a 601.895393574 9.628e-04 6
0 0 0 0 0 0 9 5 5 s 609.841496891 6.092e-04 20
0 0 0 0 0 0 9 5 5 a 610.126800178 1.095e-03 13
0 0 0 0 0 0 9 5 4 s 611.698608004 6.003e-04 22
0 0 0 0 0 0 9 5 4 a 611.976702603 1.076e-03 15
0 0 0 0 0 0 10 2 8 s 644.657816133 1.187e-03 15
0 0 0 0 0 0 10 2 8 a 644.986825259 6.786e-04 16
0 0 0 0 0 0 10 3 8 s 645.279450699 6.818e-04 18
0 0 0 0 0 0 10 3 8 a 645.610171310 1.225e-03 14
0 0 0 0 0 0 11 0 11 s 649.585304017 1.321e-03 9
0 0 0 0 0 0 11 1 11 s 649.585980225 7.827e-04 10
0 0 0 0 0 0 11 1 11 a 650.054914899 1.385e-03 6
0 0 0 0 0 0 11 0 11 a 650.055291734 7.879e-04 12
0 0 0 0 0 0 9 6 4 s 652.178255520 1.093e-03 14
0 0 0 0 0 0 9 6 3 s 652.311712735 1.070e-03 16
0 0 0 0 0 0 9 6 4 a 652.450869673 6.126e-04 16
0 0 0 0 0 0 9 6 3 a 652.583752853 6.041e-04 14
0 0 0 0 0 0 8 8 0 s 661.276279440 1.050e-03 3
0 0 0 0 0 0 8 8 1 s 661.276549704 9.722e-04 5
0 0 0 0 0 0 8 8 1 a 661.522703067 5.895e-04 5
0 0 0 0 0 0 8 8 0 a 661.522752109 5.368e-04 5
0 0 0 0 0 0 10 3 7 s 679.973928439 6.759e-04 23
0 0 0 0 0 0 10 3 7 a 680.253769735 1.181e-03 19
0 0 0 0 0 0 10 4 7 s 685.625188939 1.203e-03 16
0 0 0 0 0 0 10 4 7 a 685.919090688 6.744e-04 20
0 0 0 0 0 0 9 7 3 s 702.859712055 6.129e-04 13
0 0 0 0 0 0 9 7 2 s 702.864414459 6.010e-04 15
0 0 0 0 0 0 9 7 3 a 703.115756290 1.094e-03 9
0 0 0 0 0 0 9 7 2 a 703.120484152 1.074e-03 9
0 0 0 0 0 0 10 4 6 s 703.506798998 1.185e-03 17
0 0 0 0 0 0 10 4 6 a 703.761473958 6.666e-04 17
0 0 0 0 0 0 11 1 10 s 709.840009645 7.379e-04 16
0 0 0 0 0 0 11 2 10 s 709.849179024 1.327e-03 12
0 0 0 0 0 0 11 1 10 a 710.229437420 1.315e-03 13
0 0 0 0 0 0 11 2 10 a 710.239608425 7.490e-04 13
0 0 0 0 0 0 10 5 6 s 723.644361838 6.803e-04 18
0 0 0 0 0 0 10 5 6 a 723.915273958 1.207e-03 15
0 0 0 0 0 0 10 5 5 s 728.283507790 6.693e-04 24
0 0 0 0 0 0 10 5 5 a 728.538535139 1.185e-03 15
0 0 0 0 0 0 9 8 2 s 762.015068987 1.098e-03 5
0 0 0 0 0 0 9 8 1 s 762.015322302 1.103e-03 3
0 0 0 0 0 0 9 8 2 a 762.252975723 6.102e-04 7
0 0 0 0 0 0 9 8 1 a 762.253134375 5.980e-04 5
0 0 0 0 0 0 11 2 9 s 762.278053565 1.287e-03 14
0 0 0 0 0 0 11 3 9 s 762.524084495 7.321e-04 16
0 0 0 0 0 0 11 2 9 a 762.606945626 7.358e-04 17
0 0 0 0 0 0 11 3 9 a 762.853024678 1.307e-03 13
0 0 0 0 0 0 12 0 12 s 764.468184206 1.562e-03 6
0 0 0 0 0 0 12 1 12 s 764.468784581 8.325e-04 4
0 0 0 0 0 0 12 1 12 a 764.954225125 1.474e-03 7
0 0 0 0 0 0 12 0 12 a 764.954740100 8.386e-04 7
0 0 0 0 0 0 10 6 5 s 765.687295428 1.206e-03 15
0 0 0 0 0 0 10 6 5 a 765.946012414 6.736e-04 17
0 0 0 0 0 0 10 6 4 s 766.180863552 1.185e-03 17
0 0 0 0 0 0 10 6 4 a 766.437435715 6.656e-04 15
0 0 0 0 0 0 11 3 8 s 804.911246514 7.264e-04 19
0 0 0 0 0 0 11 3 8 a 805.186753507 1.285e-03 17
0 0 0 0 0 0 11 4 8 s 807.829531779 1.309e-03 15
0 0 0 0 0 0 11 4 8 a 808.115084296 7.336e-04 17
0 0 0 0 0 0 10 7 4 s 815.614179791 6.715e-04 14
0 0 0 0 0 0 10 7 3 s 815.640270454 6.668e-04 16
0 0 0 0 0 0 10 7 4 a 815.858562688 1.207e-03 10
0 0 0 0 0 0 10 7 3 a 815.884437049 1.182e-03 9
0 0 0 0 0 0 9 9 0 s 829.460098642 6.006e-04 3
0 0 0 0 0 0 9 9 1 s 829.460135857 6.199e-04 5
0 0 0 0 0 0 9 9 0 a 829.676030531 1.166e-03 4
0 0 0 0 0 0 9 9 1 a 829.676214821 1.102e-03 4
0 0 0 0 0 0 12 1 11 s 830.586278071 7.922e-04 11
0 0 0 0 0 0 12 2 11 s 830.588870584 1.418e-03 9
0 0 0 0 0 0 12 1 11 a 830.982470210 1.407e-03 11
0 0 0 0 0 0 12 2 11 a 830.986120016 8.325e-04 12
0 0 0 0 0 0 11 4 7 s 834.187561123 1.283e-03 15
0 0 0 0 0 0 11 4 7 a 834.424979531 7.265e-04 18
0 0 0 0 0 0 11 5 7 s 848.570091880 7.329e-04 20
0 0 0 0 0 0 11 5 7 a 848.827172242 1.303e-03 14
0 0 0 0 0 0 11 5 6 s 858.099036270 7.278e-04 18
0 0 0 0 0 0 11 5 6 a 858.328625817 1.289e-03 10
0 0 0 0 0 0 10 8 3 s 874.137266321 1.205e-03 7
0 0 0 0 0 0 10 8 2 s 874.138010951 1.191e-03 6
0 0 0 0 0 0 10 8 3 a 874.365855949 6.764e-04 6
0 0 0 0 0 0 10 8 2 a 874.366501235 6.677e-04 8
0 1 0 0 0 0 0 0 0 s 876.371227088 3.000e-03 1
0 1 0 0 0 0 1 0 1 s 887.398731750 2.000e-04 6
0 0 0 0 0 0 13 0 13 s 888.562625590 1.574e-03 7
0 0 0 0 0 0 13 1 13 s 888.563286076 8.875e-04 2
0 0 0 0 0 0 12 2 10 s 888.971307634 1.381e-03 13
0 0 0 0 0 0 12 3 10 s 889.063491097 7.892e-04 14
0 0 0 0 0 0 13 1 13 a 889.067459839 1.558e-03 6
0 0 0 0 0 0 13 0 13 a 889.068096307 8.904e-04 6
0 0 0 0 0 0 12 2 10 a 889.300541595 7.840e-04 15
0 0 0 0 0 0 12 3 10 a 889.392394609 1.401e-03 10
0 1 0 0 0 0 1 1 1 s 890.817859452 2.001e-04 6
0 0 0 0 0 0 11 6 6 s 890.843827605 1.309e-03 15
0 0 0 0 0 0 11 6 6 a 891.087240607 7.352e-04 14
0 0 0 0 0 0 11 6 5 s 892.339359566 1.285e-03 16
0 0 0 0 0 0 11 6 5 a 892.576753555 7.279e-04 18
0 1 0 0 0 0 1 1 0 s 892.604845775 2.000e-04 7
0 1 0 0 0 0 0 0 0 a 896.560904460 3.000e-03 1
0 1 0 0 0 0 1 0 1 a 907.572015586 2.000e-04 7
0 1 0 0 0 0 2 0 2 s 908.902365978 2.142e-04 7
0 1 0 0 0 0 1 1 1 a 910.908792980 2.397e-04 7
0 1 0 0 0 0 2 1 2 s 911.066836850 2.002e-04 7
0 1 0 0 0 0 1 1 0 a 912.619816926 2.000e-04 9
0 1 0 0 0 0 2 1 1 s 916.420173791 2.001e-04 10
0 1 0 0 0 0 2 2 1 s 926.620989490 2.002e-04 8
0 1 0 0 0 0 2 2 0 s 927.197468366 3.056e-04 7
0 1 0 0 0 0 2 0 2 a 929.088385385 2.001e-04 6
0 1 0 0 0 0 2 1 2 a 931.274221124 2.075e-04 7
0 1 0 0 0 0 2 1 1 a 936.369517269 2.640e-04 7
0 0 0 0 0 0 12 3 9 s 938.421136518 7.820e-04 17
