nu1 nu2 nu3a nu3b nu4a nu4b J Ka Kc a/s E uncertainty transitions
0 0 0 0 0 0 6 4 3 s 240.804669812 2.027e-04 45
0 0 0 0 0 0 6 4 3 a 240.937563597 5.121e-05 49
0 0 0 0 0 0 6 4 2 s 242.168298655 5.133e-05 60
0 0 0 0 0 0 6 4 2 a 242.302029680 2.027e-04 51
0 0 0 0 0 0 7 1 6 s 257.433707830 5.190e-04 44
0 0 0 0 0 0 7 2 6 s 257.574626709 6.013e-05 50
0 0 0 0 0 0 7 1 6 a 257.593242857 2.474e-04 42
0 0 0 0 0 0 7 2 6 a 257.733871714 2.029e-04 40
0 0 0 0 0 0 6 5 2 s 265.261023894 2.034e-04 39
0 0 0 0 0 0 6 5 1 s 265.319889087 5.247e-05 52
0 0 0 0 0 0 6 5 2 a 265.413882426 5.253e-05 49
0 0 0 0 0 0 6 5 1 a 265.472728887 1.486e-04 40
0 0 0 0 0 0 7 2 5 s 281.399665569 3.413e-04 43
0 0 0 0 0 0 7 2 5 a 281.550206721 5.950e-05 49
0 0 0 0 0 0 7 3 5 s 283.413614150 5.845e-05 57
0 0 0 0 0 0 7 3 5 a 283.559669923 3.708e-04 41
0 0 0 0 0 0 8 0 8 s 288.791322364 4.401e-04 31
0 0 0 0 0 0 8 0 8 a 288.951193529 1.594e-02 27
0 0 0 0 0 0 8 1 8 a 288.971918981 4.392e-04 29
0 0 0 0 0 0 8 1 8 s 289.130118305 1.594e-02 26
0 0 0 0 0 0 8 6 0 s 295.184965484 2.804e-04 1
0 0 0 0 0 0 6 6 1 s 295.185063931 2.022e-04 38
0 0 0 0 0 0 6 6 0 s 295.185822699 2.521e-04 35
0 0 0 0 0 0 6 6 1 a 295.320951631 2.956e-04 39
0 0 0 0 0 0 8 6 1 a 295.321165484 2.804e-04 1
0 0 0 0 0 0 6 8 0 a 295.321408508 4.134e-04 1
0 0 0 0 0 0 6 6 0 a 295.321511320 4.296e-04 32
0 0 0 0 0 0 7 3 4 s 296.784283771 2.262e-04 40
0 0 0 0 0 0 7 3 4 a 296.929207978 5.848e-05 53
0 0 0 0 0 0 7 4 4 s 306.419695341 5.993e-05 54
0 0 0 0 0 0 7 4 4 a 306.551676065 2.053e-04 38
0 0 0 0 0 0 7 4 3 s 310.358011067 2.053e-04 42
0 0 0 0 0 0 7 4 3 a 310.492024478 5.990e-05 49
0 0 0 0 0 0 8 1 7 s 324.630848260 1.651e-04 43
0 0 0 0 0 0 8 2 7 s 324.674946934 5.366e-04 40
0 0 0 0 0 0 8 1 7 a 324.790575657 2.475e-04 31
0 0 0 0 0 0 8 2 7 a 324.834728741 2.702e-04 43
0 0 0 0 0 0 7 5 3 s 331.074936429 5.850e-05 47
0 0 0 0 0 0 7 5 3 a 331.188091801 2.262e-04 45
0 0 0 0 0 0 7 5 2 s 331.503465932 2.262e-04 44
0 0 0 0 0 0 7 5 2 a 331.617143663 5.880e-05 49
0 0 0 0 0 0 8 2 6 s 354.151652736 1.644e-04 51
0 0 0 0 0 0 8 2 6 a 354.298098509 2.668e-04 42
0 0 0 0 0 0 8 3 6 s 354.985534449 2.475e-04 40
0 0 0 0 0 0 8 3 6 a 355.129643715 1.649e-04 45
0 0 0 0 0 0 9 1 9 s 358.495452426 4.029e-04 32
0 0 0 0 0 0 9 0 9 s 358.495506477 1.204e-03 26
0 0 0 0 0 0 9 0 9 a 358.678429805 2.829e-04 26
0 0 0 0 0 0 9 1 9 a 358.679225244 1.001e-03 23
0 0 0 0 0 0 7 6 2 s 360.649985653 6.027e-05 42
0 0 0 0 0 0 7 6 1 s 360.662278830 2.053e-04 37
0 0 0 0 0 0 7 6 2 a 360.785105180 2.053e-04 33
0 0 0 0 0 0 7 6 1 a 360.797489554 5.981e-05 40
0 0 0 0 0 0 8 3 5 s 374.968419513 6.823e-05 45
0 0 0 0 0 0 8 3 5 a 375.109073359 3.456e-04 35
0 0 0 0 0 0 8 4 5 s 380.974989809 3.597e-04 38
0 0 0 0 0 0 8 4 5 a 381.105594640 6.752e-05 47
0 0 0 0 0 0 8 4 4 s 389.412546554 6.748e-05 43
0 0 0 0 0 0 8 4 4 a 389.545508574 3.599e-04 37
0 0 0 0 0 0 7 7 0 s 395.896180649 2.865e-04 25
